date,home_team,away_team,home_score,away_score,competition,home_xg,away_xg,home_shots,away_shots,home_sot,away_sot
2022-11-27,Japan,Costa Rica,0,1,FIFA World Cup 2022,0.7735,0.1994,13,4.0,3,1.0
2022-11-27,Belgium,Morocco,0,2,FIFA World Cup 2022,0.6426,0.9911,10,10.0,4,4.0
2022-11-27,Spain,Germany,1,1,FIFA World Cup 2022,0.6395,1.147,7,11.0,3,4.0
2022-11-28,South Korea,Ghana,2,3,FIFA World Cup 2022,1.3678,1.1805,21,7.0,6,3.0
2022-11-28,Cameroon,Serbia,3,3,FIFA World Cup 2022,2.0703,1.7381,13,15.0,8,5.0
2022-11-28,Portugal,Uruguay,2,0,FIFA World Cup 2022,1.2137,1.2167,15,11.0,3,3.0
2022-11-28,Brazil,Switzerland,1,0,FIFA World Cup 2022,0.9227,0.2886,13,6.0,5,0.0
2022-11-29,Netherlands,Qatar,2,0,FIFA World Cup 2022,1.714,0.1437,13,5.0,4,3.0
2022-11-29,Ecuador,Senegal,1,2,FIFA World Cup 2022,1.0017,1.7075,9,13.0,4,3.0
2022-11-29,Wales,England,0,3,FIFA World Cup 2022,0.208,2.9155,7,18.0,1,7.0
2022-11-29,Iran,United States,0,1,FIFA World Cup 2022,0.9208,1.1697,4,12.0,1,5.0
2022-11-30,Saudi Arabia,Mexico,1,2,FIFA World Cup 2022,1.0761,2.3221,10,26.0,2,10.0
2022-11-30,Australia,Denmark,1,0,FIFA World Cup 2022,0.4697,0.7372,8,14.0,4,4.0
2022-11-30,Tunisia,France,1,0,FIFA World Cup 2022,0.2983,0.477,5,10.0,3,3.0
2022-11-30,Poland,Argentina,0,2,FIFA World Cup 2022,0.1976,3.0767,4,24.0,0,13.0
2022-12-01,Canada,Morocco,1,2,FIFA World Cup 2022,1.0956,0.4264,5,7.0,0,2.0
2022-12-01,Japan,Spain,2,1,FIFA World Cup 2022,1.1578,0.8577,6,12.0,3,5.0
2022-12-01,Croatia,Belgium,0,0,FIFA World Cup 2022,0.695,2.3818,11,16.0,4,3.0
2022-12-01,Costa Rica,Germany,2,4,FIFA World Cup 2022,1.0347,4.3161,7,31.0,5,11.0
2022-12-02,Serbia,Switzerland,2,3,FIFA World Cup 2022,1.189,3.1035,12,14.0,4,7.0
2022-12-02,Ghana,Uruguay,0,2,FIFA World Cup 2022,1.3927,1.6366,9,12.0,4,6.0
2022-12-03,Netherlands,United States,3,1,FIFA World Cup 2022,1.4819,1.6521,11,18.0,6,6.0
2022-12-03,Argentina,Australia,2,1,FIFA World Cup 2022,1.4816,0.4261,14,5.0,5,1.0
2022-12-04,France,Poland,3,1,FIFA World Cup 2022,1.1264,1.5935,16,12.0,8,2.0
2022-12-04,England,Senegal,3,0,FIFA World Cup 2022,1.02,0.9728,8,10.0,4,1.0
2022-12-05,Brazil,South Korea,4,1,FIFA World Cup 2022,3.2614,0.3448,18,8.0,10,6.0
